"","name","pitcher","throws","IP","year","FA_pct","SL_pct","CT_pct","CB_pct","CH_pct","SF_pct","KN_pct","XX_pct","vFA_sc","vFC_sc","vFS_sc","vFO_sc","vSI_sc","vSL_sc","vCU_sc","vKC_sc","vEP_sc","vCH_sc","vSC_sc","vKN_sc","FA_X_sc","FC_X_sc","FS_X_sc","FO_X_sc","SI_X_sc","SL_X_sc","CU_X_sc","KC_X_sc","EP_X_sc","CH_X_sc","SC_X_sc","KN_X_sc","FA_Z_sc","FC_Z_sc","FS_Z_sc","FO_Z_sc","SI_Z_sc","SL_Z_sc","CU_Z_sc","KC_Z_sc","EP_Z_sc","CH_Z_sc","SC_Z_sc","KN_Z_sc","VAA_CU","VAA_FA","VAA_FF","VAA_SI","VAA_SL","VAA_CH","VAA_CS","VAA_FC","VAA_EP","VAA_PO","VAA_ST","VAA_FS","VAA_KC","VAA_SV","VAA_NA","VAA_FO","VAA_KN","VAA_SC","HAA_CU","HAA_FA","HAA_FF","HAA_SI","HAA_SL","HAA_CH","HAA_CS","HAA_FC","HAA_EP","HAA_PO","HAA_ST","HAA_FS","HAA_KC","HAA_SV","HAA_NA","HAA_FO","HAA_KN","HAA_SC","Pit_plus_CH","Pit_plus_CU","Pit_plus_FA","Pit_plus_SI","Pit_plus_SL","Pit_plus_KC","Pit_plus_FC","Pit_plus_FS","Pit_plus_FO","Pitching_plus","NumberofStuffPitches","plus_stuff_pitches","xwoba","xwoba_r","xwoba_l","K_pct","BB_pct","K_per_9","NameASCII","KsperOut","wFB_per_c","wSL_per_c","wCT_per_c","wCB_per_c","wCH_per_c","wSF_per_c","wKN_per_c","FA_pct_sc","pitch_type_percentage_1_FF","pitch_type_percentage_1_CU","pitch_type_percentage_1_SI","pitch_type_percentage_1_CH","pitch_type_percentage_1_SL","pitch_type_percentage_1_FC","pitch_type_percentage_2_CH","pitch_type_percentage_2_FF","pitch_type_percentage_2_SI","pitch_type_percentage_2_SL","pitch_type_percentage_3_FC","pitch_type_percentage_3_FF","pitch_type_percentage_3_SL","pitch_type_percentage_2_FC","pitch_type_percentage_3_CH","pitch_type_percentage_3_SI","pitch_type_percentage_1_KC","pitch_type_percentage_2_KC","pitch_type_percentage_3_KC","pitch_type_percentage_1_ST","pitch_type_percentage_2_CU","pitch_type_percentage_1_FS","pitch_type_percentage_2_FS","pitch_type_percentage_3_CU","pitch_type_percentage_1_SV","pitch_type_percentage_2_SV","pitch_type_percentage_3_SV","pitch_type_percentage_3_FS","pitch_type_percentage_2_ST","pitch_type_percentage_3_ST","pitch_type_percentage_4_FF","pitch_type_percentage_4_KC","pitch_type_percentage_4_SL","pitch_type_percentage_1_NA","pitch_type_percentage_4_CH","pitch_type_percentage_1_CS","pitch_type_percentage_4_CU","pitch_type_percentage_4_SI","pitch_type_percentage_2_FA","pitch_type_percentage_3_EP","pitch_type_percentage_1_SC","pitch_type_percentage_4_ST","pitch_type_percentage_4_FS","pitch_type_percentage_1_FA","pitch_type_percentage_4_FC","pitch_type_percentage_2_CS","pitch_type_percentage_3_CS","pitch_type_percentage_1_EP","pitch_type_percentage_1_PO","pitch_type_percentage_5_SI","pitch_type_percentage_5_SL","pitch_type_percentage_1_KN","pitch_type_percentage_4_SV","pitch_type_percentage_2_NA","pitch_type_percentage_3_NA","pitch_type_percentage_2_PO","pitch_type_percentage_2_KN","pitch_type_percentage_3_KN","pitch_type_percentage_5_CH","pitch_type_percentage_4_CS","pitch_type_percentage_2_EP","pitch_type_percentage_3_FA","pitch_type_percentage_3_PO","pitch_type_percentage_5_CU","pitch_type_percentage_5_FF","pitch_type_percentage_5_KC","pitch_type_percentage_1_FO","pitch_type_percentage_2_FO","pitch_type_percentage_3_FO","pitch_type_percentage_5_FC","pitch_type_percentage_2_SC","pitch_type_percentage_4_FO","diff_pitch_type_percentage_1_2_diff_CH","diff_pitch_type_percentage_1_2_diff_FF","diff_pitch_type_percentage_1_2_diff_SI","diff_pitch_type_percentage_1_2_diff_SL","diff_pitch_type_percentage_1_2_diff_FC","diff_pitch_type_percentage_1_2_diff_KC","diff_pitch_type_percentage_1_2_diff_CU","diff_pitch_type_percentage_1_2_diff_FS","diff_pitch_type_percentage_1_2_diff_SV","diff_pitch_type_percentage_1_2_diff_ST","diff_pitch_type_percentage_1_2_diff_FA","diff_pitch_type_percentage_1_2_diff_CS","diff_pitch_type_percentage_1_2_diff_NA","diff_pitch_type_percentage_1_2_diff_PO","diff_pitch_type_percentage_1_2_diff_KN","diff_pitch_type_percentage_1_2_diff_EP","diff_pitch_type_percentage_1_2_diff_FO","diff_pitch_type_percentage_1_2_diff_SC","diff_pitch_type_percentage_2_3_diff_FC","diff_pitch_type_percentage_2_3_diff_FF","diff_pitch_type_percentage_2_3_diff_SL","diff_pitch_type_percentage_2_3_diff_CH","diff_pitch_type_percentage_2_3_diff_SI","diff_pitch_type_percentage_2_3_diff_KC","diff_pitch_type_percentage_2_3_diff_CU","diff_pitch_type_percentage_2_3_diff_SV","diff_pitch_type_percentage_2_3_diff_FS","diff_pitch_type_percentage_2_3_diff_ST","diff_pitch_type_percentage_2_3_diff_EP","diff_pitch_type_percentage_2_3_diff_CS","diff_pitch_type_percentage_2_3_diff_NA","diff_pitch_type_percentage_2_3_diff_KN","diff_pitch_type_percentage_2_3_diff_FA","diff_pitch_type_percentage_2_3_diff_PO","diff_pitch_type_percentage_2_3_diff_FO","xwoba_times_faced_1","xwoba_times_faced_2","xwoba_times_faced_3","xwoba_times_faced_4","xwoba_times_faced_5","xwoba_faced_diff_1_2","xwoba_faced_diff_2_3","avg_pitch_number_endurance","avg_rolling_avg_velocity","avg_first_pitch_velocity","X","inning_role","length_role","matchup_role","leverage_role"
"1","Tommy Hunter",488984,"R",8,2021,0.450163636363636,NA,0.421333333333333,NA,NA,NA,NA,NA,NA,89.5767686590909,NA,NA,91.9855711024242,NA,NA,NA,NA,NA,NA,NA,NA,1.47434343493939,NA,NA,-7.63298504030303,NA,NA,NA,NA,NA,NA,NA,NA,6.34525245115151,NA,NA,7.744477341,NA,NA,NA,NA,NA,NA,NA,-9.77117665812521,NA,-4.15748486250726,-5.8609757845915,NA,NA,NA,-6.34848080932631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.88781140950454,NA,1.57774466560014,0.203873176057309,NA,NA,NA,2.80107963930147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.9784090909091,NA,NA,103.290909090909,NA,NA,97.7960823945455,1,1,0.316625,0.279888888888889,0.363857142857143,0.181821212121212,0.0909212121212121,6.86363636363636,"Tommy Hunter",0.254208754208754,5.02512477727273,NA,0.522063627727273,NA,NA,NA,NA,NA,0.0271392081736909,0.140140485312899,0.434479002328901,0,0,0.398241304184509,0,0,0.0909090909090909,0,0,0,0,0.159090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0271392081736909,-0.34356991141981,0,-0.2391503950936,0,-0.140140485312899,0,0,0,0,0,0,0,0,0,0,0,-0.159090909090909,0,0,0,-0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0.330753968253968,0.051,NA,NA,NA,-0.279753968253968,NA,NA,NA,NA,570,"none","short","none","low"
"2","Zack Greinke",425844,"R",170.3,2021,0.460678048780488,0.152079913916786,NA,0.165074605451937,0.222068723098996,NA,NA,NA,88.8644205901722,NA,NA,NA,89.5421093619656,83.5889815637446,71.1705354185509,NA,NA,86.3563883727834,NA,NA,-1.12091978677331,NA,NA,NA,-7.84087196396413,3.95439582298996,6.14763728586657,NA,NA,-7.52563356654519,NA,NA,9.71674824112769,NA,NA,NA,6.85349130162697,2.1682504832396,-6.12528853555811,NA,NA,3.07568024568867,NA,NA,-11.2064734568414,-7.94796845403552,-6.09371990454875,-7.14220296024208,-8.78357685796575,-8.32870682159479,-12.3391329903276,-7.20500171759564,-12.2131404472087,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.60040703899028,0.226894843137382,1.19860713008743,0.177414766380416,2.89356941355288,-0.424756831595822,2.08353183990267,4.06728773622046,1.53967389409847,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.008964937733,99.3138935621234,94.7728687134577,87.4368978568723,103.765455123099,NA,NA,NA,NA,98.2034868407747,2,2,0.317651798561151,0.344978622327791,0.275664233576642,0.172207317073171,0.0516246771879483,6.31187293830703,"Zack Greinke",0.233773071789149,0.110342437583931,-0.584292228635581,NA,0.00713520927403145,1.43300948787805,NA,NA,0.401781492109039,0.475368672727559,0.131359289113905,0.0562421801591938,0.188700190946132,0.14295057198096,0.000813008130081301,0.228549389912855,0.328411066190453,0.0559767718730912,0.169427189154711,0,0.278041113485824,0.11553115179758,0.00144927536231884,0.215860830865099,0.0519081360061528,0,0,0,0,0.176270263035928,0,0,0.165770947332524,0,0,0,0,0,0,0.0424747474747475,0,0.0254377104377104,0,0.0508249158249158,0.00208536982730531,0.0358080808080808,0.00909090909090909,0.0033179012345679,0.00133333333333333,0,0,0,0.00248071711486346,0,0.0024314765694076,0.00104166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.00303030303030303,0.000833333333333333,0.00384615384615385,0,0,0,0,0,0,0,0,0,0,0.0398491989667233,-0.146957606537106,-0.000265408286102546,0.026476617173751,0.00063626723223754,0,0.0449109739220235,0,0,0,0.000837184119704445,0.000346106742102293,0,0,0,0.000833333333333333,0,0,-0.00144927536231884,-0.0503699527046295,-0.0538960373571313,-0.0126885590477562,-0.00406863586693842,0,-0.0104993157034041,0,0,0,5e-04,-0.00138980990274094,0,0,0.000528252611585945,0,0,0.313779191919192,0.310784209085933,0.353899301587302,0.303333333333333,NA,-0.00299498283325866,0.0431150925013684,55.5,87.6611111111111,89.3666666666667,337,"start",NA,NA,NA
"3","Jhoulys Chacin",468504,"R",64.1,2021,0.417036431226766,0.351084758364312,0.195585130111524,NA,0.0362996282527881,NA,NA,NA,92.4501963704461,NA,NA,NA,92.8593367155762,88.2598540689219,81.2194546930855,NA,NA,84.5934916935688,NA,NA,-3.02046476878067,NA,NA,NA,-7.54361588824535,1.7254810108513,6.69935749905205,NA,NA,-4.01749699616357,NA,NA,8.6244569969368,NA,NA,NA,5.96867693891078,3.67005240491078,0.928586356055762,NA,NA,4.20426681896283,NA,NA,-8.66668891594843,NA,-5.983578587874,-6.56347916232127,-7.4082247630132,-7.69941417965808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.48648486256354,NA,1.0219608090566,-0.313628657857521,1.85289241475363,-0.0209393990621619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.5325278810409,105.555084305948,87.0964190911524,86.3630303849071,106.565149572491,NA,NA,NA,NA,97.5001280077323,2,2,0.317807547169811,0.313426356589147,0.321963235294118,0.174708921933086,0.104071003717472,6.57462996509294,"Jhoulys Chacin",0.243504813521961,-0.213299907226766,-1.0582170425539,2.72598344321933,NA,0.230157765795539,NA,NA,0.100765799256506,0.0916942198664163,0.338012786626088,0.324062373316522,0.027698463660555,0.218532156530419,0,0.0100679904068651,0.0142300900293228,0.0264354571259942,0.0195932051750466,0,0,0,0,0,0,0,0,0,0,0.060108039871467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0176304732536899,-0.0774641298370936,-0.297626916190528,-0.198938951355373,0,0,-0.277904746754621,0,0,0,0,0,0,0,0,0,0,0,0,-0.0142300900293228,-0.0195932051750466,-0.0100679904068651,-0.0264354571259942,0,-0.060108039871467,0,0,0,0,0,0,0,0,0,0,0.303359144237405,0.309300793650794,NA,NA,NA,0.00594164941338854,NA,43,91.1666666666667,92.7,303,"middle","short","none","high"
"4","Ervin Santana",429722,"R",65.1,2021,0.45741155234657,0.515395306859206,NA,NA,0.0272841155234657,NA,NA,NA,93.3496028983394,NA,NA,NA,NA,84.3772519046209,NA,NA,NA,86.9823601444404,NA,NA,-2.98876771074729,NA,NA,NA,NA,2.00949714923827,NA,NA,NA,-4.99540893013718,NA,NA,8.26017351293141,NA,NA,NA,NA,1.45580130511913,NA,NA,NA,7.78391537632852,NA,NA,NA,NA,-5.39741648336043,NA,-8.48635347246949,-6.62852434015616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.12956102725829,NA,2.3499222078753,0.353029996412439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.4694363555235,NA,88.2272837339711,NA,103.369280477978,NA,NA,NA,NA,95.2089876145126,1,1,0.366414545454545,0.33364375,0.412008695652174,0.187685198555957,0.0793920577617328,7.1679142220361,"Ervin Santana",0.265478304519856,-1.67249811056318,1.91738946681588,NA,NA,-13.1173974426895,NA,NA,0.4520440433213,0.433722415282731,0,0,0.0264293799347866,0.539848204782482,0,0.00904787680028868,0.142802429873362,0,0.137623377536876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0173815031344979,-0.290919985409369,0,-0.402224827245607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.142802429873362,-0.137623377536876,-0.00904787680028868,0,0,0,0,0,0,0,0,0,0,0,0,0,0.346614035087719,0.379769480519481,NA,NA,NA,0.0331554454317612,NA,34.5,91.65,93.275,461,"none","none","none","low"
"5","Matt Shoemaker",533167,"R",59.4,2021,0.409831690140845,0.260626056338028,NA,NA,NA,0.329642253521127,NA,NA,91.6245469897887,NA,85.1769539698592,NA,91.6596307865493,82.1823145839437,NA,77.3243274102817,NA,NA,NA,NA,-5.67665889024648,NA,-7.02649067830282,NA,-9.38614764972535,1.56140145727465,NA,4.40514412173944,NA,NA,NA,NA,9.83769697202113,NA,3.01208430847887,NA,6.51886034575352,1.23389900942958,NA,-1.15919654023944,NA,NA,NA,NA,NA,NA,-5.51031273210891,-6.50499833224767,-8.25666627244699,NA,NA,NA,NA,NA,NA,-8.05890848001336,-8.50164581903342,NA,NA,NA,NA,NA,NA,NA,1.29999405873269,0.302635802445309,3.09627279060545,NA,NA,NA,NA,NA,NA,0.783176593793322,2.85180925259306,NA,NA,NA,NA,NA,NA,NA,91.8450468930282,88.6575031502817,101.072841191972,93.5683098591549,NA,102.2464275,NA,96.9269267987324,2,2,0.383175,0.34556338028169,0.421876811594203,0.140845774647887,0.0950345070422535,5.95966974799296,"Matt Shoemaker",0.220728509184924,-2.64198914467606,-1.92596498269718,NA,NA,NA,-0.786887638626761,NA,0.244360563380282,0.263333808630666,0,0.163867229978882,0,0.233293590838432,0,0,0.155918622334781,0.129214538216156,0.262535866910844,0,0.13418919043919,0.183693158693159,0,0,0.0875840594590595,0.00777109735023041,0.0098801533436508,0.0110780423280423,0,0,0.331734273201789,0.254950819194568,0,0,0,0,0.208455549080549,0,0,0,0,0.015625,0,0,0,0,0.046875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.107415186295885,-0.0346526917627254,0.0292422760724112,0,0.00210905599342038,0,-0.0767834540072213,0,0,0,0,0,0,0,0,0,0,0,-0.0217294318955909,-0.0788427082176848,0,-0.041630478757097,0.00119788898439153,0,0,-0.0464952701140189,0,0,0,0,0,0,0,0,0.353203869047619,0.404044871794872,0.410090079365079,0.049,NA,0.0508410027472528,0.00604520757020754,50.6666666666667,90.2074074074074,91.9592592592593,5,"none","long","none","none"
"6","Michael Pineda",501381,"R",109.1,2021,0.541312663755459,0.28876768558952,NA,NA,0.169919650655022,NA,NA,NA,90.6497786191703,NA,NA,NA,NA,81.2262848675109,NA,NA,NA,85.516417850655,NA,NA,-4.41476528594323,NA,NA,NA,NA,-0.662777070576419,NA,NA,NA,-9.76202538355022,NA,NA,8.57765283321834,NA,NA,NA,NA,1.14675719053712,NA,NA,NA,5.19585851261572,NA,NA,NA,NA,-6.1478527654278,NA,-9.56360631053521,-8.11622315937362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.93654092249756,NA,3.13308742541903,0.489818994018843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.989538369738,NA,94.7170014523581,NA,108.381767178166,NA,NA,NA,NA,98.3664790386026,1,1,0.337894273127753,0.336505747126437,0.339772020725389,0.192156331877729,0.0458087336244541,7.24168873039738,"Michael Pineda",0.268210693718421,0.215809690646288,-0.282981186541485,NA,NA,-1.57357368341921,NA,NA,0.54160480349345,0.579533777633051,0,0,0.148285083939321,0.272181138427627,0,0.181739642407379,0.504967808281723,0,0.313292549310898,0,0.403442720513659,0.294038189118281,0,0.166155454004424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0303030303030303,0,0.00757575757575758,0,0.00757575757575758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0334545584680579,-0.0745659693513282,0,0.0411114108832702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.101525087768064,-0.0192543601926169,-0.0155841884029551,0,0,0,0,0,0,0,0,0,0,0,0,0,0.309331944444444,0.354105519480519,0.356274185463659,0,NA,0.044773575036075,0.00216866598313964,56.5,87.975,89.85,120,"start",NA,NA,NA
"7","Brad Peacock",502748,"R",5.1,2021,0.444376923076923,0.312415384615385,NA,0.0307153846153846,0.212538461538462,NA,NA,NA,91.0893489692308,NA,NA,NA,90.16088161,77.0002431446154,NA,74.3999985923077,NA,81.3310004830769,NA,NA,-7.41473379669231,NA,NA,NA,-11.2053556015385,8.14126006184615,NA,5.56769246315385,NA,-10.2528206719231,NA,NA,8.46532557538461,NA,NA,NA,4.80909892215385,2.35644278430769,NA,-4.79461541530769,NA,3.530186304,NA,NA,NA,NA,-3.97498018091163,-5.69894869651696,NA,-6.73359670934184,NA,NA,NA,NA,-7.63325197961725,NA,-10.388381847181,NA,NA,NA,NA,NA,NA,NA,0.700482371212826,-0.321454536009487,NA,-0.1131778266801,NA,NA,NA,NA,3.98934398680598,NA,3.93996485150937,NA,NA,NA,NA,NA,80.8384615384615,NA,95.5923076923077,94.4,94.1230769230769,84.5153846153846,NA,NA,NA,90.9206423861538,0,0,0.400346153846154,0.372142857142857,0.43325,0.115392307692308,0.115384615384615,4.84615384615385,"Brad Peacock",0.17948717948718,3.18041600784615,-13.2148196950769,NA,-12.0940678963846,1.57849412869231,NA,NA,0.205161538461538,0.275065387968614,0,0.193984306887533,0.22101133391456,0,0,0.170454545454545,0.0767045454545455,0.264204545454545,0,0,0,0,0,0,0,0.029642545771578,0.0454545454545455,0,0.280296425457716,0,0,0,0,0,0,0,0,0.443181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0505567884600143,-0.198360842514068,0.0702202385670128,0,0,0.0158119996829674,0,0,0,0.162885392724102,0,0,0,0,0,0,0,0,0,-0.0767045454545455,0,-0.170454545454545,-0.264204545454545,-0.0454545454545455,0,0,0,-0.443181818181818,0,0,0,0,0,0,0,0.417555555555556,0.421366666666667,NA,NA,NA,0.0038111111111111,NA,31,90.7,92.2,836,"none","long","none","low"
"8","Jesse Chavez",445926,"R",33.2,2021,0.403657894736842,0.104231578947368,0.393731578947368,NA,0.0983578947368421,NA,NA,NA,91.0858543773684,89.0630260268421,NA,NA,91.1882799631579,82.5375164615789,NA,NA,NA,84.6001162247368,NA,NA,-6.88532884478947,-1.21657253131579,NA,NA,-9.72669889778947,3.06215473947368,NA,NA,NA,-9.39526353015789,NA,NA,5.71305924952632,7.086755337,NA,NA,4.84847289347368,1.56546278805263,NA,NA,NA,1.75988813115789,NA,NA,NA,NA,-4.82699801945469,-5.53286101084536,-7.35789732368611,-7.45170827201694,NA,-5.06754867013565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.514307400434467,0.136407998241275,3.1282425028515,-0.656491806451199,NA,1.77023451608812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.74482693,NA,86.2348684210526,103.843074763158,114.732278194737,NA,101.101929134737,NA,NA,102.391697911579,3,3,0.269257575757576,0.244208333333333,0.299316666666667,0.270652631578947,0.0827052631578947,9.61324144294737,"Jesse Chavez",0.356045979368421,4.31279947915789,-2.0270764658421,1.29915945857895,NA,-2.61004155810526,NA,NA,0.0342,0.0362236867075577,0,0.377825785079974,0.0918236119475631,0.102580592100227,0.391546324164678,0.00666666666666667,0,0.02,0,0,0,0,0.00666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0851569452808965,-0.0362236867075577,-0.357825785079974,-0.102580592100227,-0.384879657498011,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00666666666666667,0,0,-0.00666666666666667,-0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.252292883597884,0.059,NA,NA,NA,-0.193292883597884,NA,NA,NA,NA,689,"none","short","none","none"
"9","Junior Guerra",448855,"R",65.1,2021,0.559978501628664,NA,NA,0.164263843648208,NA,0.16092996742671,NA,NA,92.2059423334202,NA,84.0920247961889,NA,93.0403513258306,NA,80.8485073307166,NA,NA,NA,NA,NA,-3.00360003047557,NA,-6.26741522255049,NA,-8.33725277665472,NA,2.34988914783713,NA,NA,NA,NA,NA,10.9590306397068,NA,3.60787953845603,NA,8.32013573438762,NA,-5.03499233796417,NA,NA,NA,NA,NA,-9.31938359812025,NA,-4.54170262642829,-5.54611039081445,-8.26528619579585,NA,NA,NA,NA,NA,NA,-7.45979728616643,NA,NA,NA,NA,NA,NA,2.25171804940481,NA,0.995657279881374,-0.153019598954106,3.21667264584129,NA,NA,NA,NA,NA,NA,0.203455645153462,NA,NA,NA,NA,NA,NA,NA,97.5574181422801,96.3523414070684,88.5587043058306,NA,NA,NA,97.663873098013,NA,94.2428527054397,0,0,0.324722222222222,0.281497297297297,0.390809917355372,0.19867328990228,0.149878827361564,8.50786085609772,"Junior Guerra",0.315105957633249,-0.87151288814658,NA,NA,-0.251430732143322,NA,0.611975847247557,NA,0.176180781758958,0.173877989053202,0.147096480462719,0.391510747840562,0,0.129200528090036,0,0,0.0383372048006194,0.113882932785372,0.0361788617886179,0,0,0,0,0,0,0,0,0,0,0.0543933708567855,0.158314254553481,0.0255003126954346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.135540784252583,-0.27762781505519,-0.0930216663014179,0,0,-0.0927031096059334,-0.132813941858046,0,0,0,0,0,0,0,0,0,0,0,-0.0383372048006194,-0.0361788617886179,0,-0.113882932785372,0,-0.0543933708567855,0,-0.0255003126954346,0,0,0,0,0,0,0,0,0.316474883855981,0.341537878787879,NA,NA,NA,0.0250629949318973,NA,35,91.4166666666667,93.1833333333333,252,"none","none","none","low"
"10","Trevor Cahill",502239,"R",36.3,2021,0.362300602409639,0.182031927710843,NA,0.217323493975904,0.238248192771084,NA,NA,NA,90.4460588357229,85.1926105825301,NA,NA,89.6282290441566,NA,NA,78.6270164101205,NA,82.2465521190964,NA,NA,-6.22362366948193,-1.04591907808024,NA,NA,-10.5824166848193,NA,NA,4.95831919645783,NA,-8.49593274329518,NA,NA,9.37968975731325,3.67767540771084,NA,NA,5.16496987731325,NA,NA,-6.20932235872289,NA,0.849340485795181,NA,NA,NA,NA,-5.46995322727515,-6.88090049741117,NA,-8.79401682367988,NA,-7.58399385553076,NA,NA,NA,NA,-10.3004921456696,NA,NA,NA,NA,NA,NA,NA,1.43630242016767,0.8849513603033,NA,0.744958324094697,NA,3.23831261445688,NA,NA,NA,NA,3.87789312843131,NA,NA,NA,NA,NA,95.3602491078916,NA,109.556302116867,90.4035623609036,NA,99.6733942948193,93.488832256506,NA,NA,95.2648525709036,1,1,0.333442424242424,0.286191489361702,0.396,0.192781927710843,0.084355421686747,7.86308842206626,"Trevor Cahill",0.291225497113565,0.450254016054217,-0.465042723054217,NA,-0.566460094614458,-1.6306921876506,NA,NA,0.0606873493975904,0.0451734324283344,0,0.340982158629217,0.231432725550373,0,0.176165391851666,0.202039618895149,0.0605296941684492,0.193442623154985,0,0.178561253561254,0.0683760683760684,0,0.143392185705478,0.178774928774929,0.188105413105413,0.206246291540409,0.178373655853717,0.163960113960114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.029393106655224,0.0153562617401149,-0.147539535474232,0,-0.0327732061461885,-0.0278726356866925,0,0,0,0,0,0,0,0,0,0,0,0,0.0351690678557757,0.00784637420761912,0,-0.0232646901202198,-0.00533721004957233,-0.0144135418936027,0,0,0,0,0,0,0,0,0,0,0,0.379154100529101,0.271492063492064,0.325367857142857,NA,NA,-0.107662037037037,0.0538757936507936,85,89.0666666666667,90.8833333333333,416,"start",NA,NA,NA
