"","pitcher","year","inning_role","length_role","matchup_role","leverage_role"
"1",518633,2021,"start",NA,NA,NA
"2",592314,2021,"start",NA,NA,NA
"3",607074,2021,"start",NA,NA,NA
"4",594965,2021,"none","none","none","low"
"5",533167,2021,"none","long","none","none"
"6",601713,2021,"start",NA,NA,NA
"7",656954,2021,"none","none","RHH","none"
"8",571927,2021,"start",NA,NA,NA
"9",593423,2021,"start",NA,NA,NA
"10",608379,2021,"start",NA,NA,NA
"11",543101,2021,"start",NA,NA,NA
"12",500779,2021,"start",NA,NA,NA
"13",669160,2021,"start",NA,NA,NA
"14",592866,2021,"none","long","none","low"
"15",664141,2021,"start",NA,NA,NA
"16",570632,2021,"start",NA,NA,NA
"17",592254,2021,"none","none","none","none"
"18",474463,2021,"start",NA,NA,NA
"19",594798,2021,"start",NA,NA,NA
"20",669432,2021,"start",NA,NA,NA
"21",605347,2021,"none","short","none","none"
"22",519043,2021,"none","short","RHH","none"
"23",656756,2021,"start",NA,NA,NA
"24",663531,2021,"none","long","RHH","low"
"25",677651,2021,"start",NA,NA,NA
"26",640462,2021,"none","short","RHH","low"
"27",670970,2021,"none","short","RHH","low"
"28",607391,2021,"none","none","none","low"
"29",663474,2021,"start",NA,NA,NA
"30",677976,2021,"none","long","none","low"
"31",669135,2021,"none","medium","none","low"
"32",456034,2021,"none","short","none","low"
"33",542882,2021,"none","none","none","none"
"34",608716,2021,"none","short","none","high"
"35",502706,2021,"none","short","none","low"
"36",669735,2021,"middle","none","none","none"
"37",621129,2021,"middle","none","none","none"
"38",650556,2021,"none","short","none","high"
"39",571656,2021,"none","short","none","low"
"40",656629,2021,"none","none","none","none"
"41",665854,2021,"none","none","none","low"
"42",656322,2021,"none","short","none","none"
"43",570666,2021,"none","short","none","none"
"44",548384,2021,"none","short","none","high"
"45",595928,2021,"middle","short","none","none"
"46",606149,2021,"late","short","none","high"
"47",593140,2021,"none","short","none","low"
"48",676969,2021,"none","short","none","low"
"49",607237,2021,"none","short","none","high"
"50",594577,2021,"none","short","none","none"
"51",459429,2021,"late","short","RHH","high"
"52",642397,2021,"late","short","RHH","high"
"53",676684,2021,"none","short","none","none"
"54",621237,2021,"none","short","RHH","high"
"55",445213,2021,"none","short","none","low"
"56",489265,2021,"none","short","none","none"
"57",503569,2021,"none","short","none","none"
"58",518553,2021,"none","short","none","high"
"59",642207,2021,"late","short","none","high"
"60",656548,2021,"none","long","none","low"
"61",543507,2021,"late","short","none","none"
"62",614179,2021,"none","short","none","low"
"63",650530,2021,"none","short","none","low"
"64",657612,2021,"none","short","none","high"
"65",622503,2021,"none","none","none","low"
"66",605538,2021,"none","short","none","high"
"67",547973,2021,"late","short","RHH","high"
"68",605130,2021,"late","short","none","high"
"69",605177,2021,"none","short","none","high"
"70",642233,2021,"middle","short","RHH","low"
